Gazepoint Analysis,v4.1.0
Processed on,Wed Nov 15 17:16:05 2017

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 24, 16ba, M, 0, 4.813, 17.795, 0.074, 47.000, 13, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 25, 17ab, M, 0, 7.952, 7.573, 0.032, 23.000, 10, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 26, 18ba, M, 0, 0.181, 10.259, 0.043, 30.000, 16, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 27, 19ab, M, 0, 0.165, 10.838, 0.045, 42.000, 26, 
2, Vertical, 24000.000, 2, AOI 2, 0.000, 24000.000, 29, 20ba, M, 0, 0.378, 9.955, 0.041, 39.000, 27, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 6, 1ab, M, 0, 27.090, 8.642, 0.036, 21.000, 8, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 7, 2ab, M, 0, 14.835, 4.944, 0.021, 15.000, 11, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 8, 3ab, M, 0, 17.776, 1.397, 0.006, 4.000, 2, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 9, 4ba, M, 0, 14.342, 2.023, 0.008, 6.000, 4, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 10, 5ba, M, 0, 25.529, 13.804, 0.058, 31.000, 26, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 13, 6ba, M, 0, 14.358, 4.814, 0.020, 17.000, 12, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 14, 7ab, M, 0, 6.802, 6.982, 0.029, 27.000, 27, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 15, 8ba, M, 0, 17.989, 1.824, 0.008, 7.000, 4, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 17, 9ab, M, 0, 5.027, 0.411, 0.002, 2.000, 1, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 18, 10ba, M, 0, 33.448, 2.695, 0.011, 11.000, 7, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 19, 11ab, M, 0, 9.151, 1.561, 0.007, 4.000, 1, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 20, 12ba, M, 0, 11.861, 1.084, 0.005, 6.000, 3, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 21, 13ab, M, 0, 17.102, 1.872, 0.008, 7.000, 4, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 22, 14ba, M, 0, 0.049, 0.937, 0.004, 3.000, 2, 
2, Vertical, 24000.000, 3, AOI 3, 0.000, 24000.000, 23, 15ab, M, 0, 19.583, 2.037, 0.008, 5.000, 2, 
